,Index,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Origin Channel,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit
30,391,CA-2020-101798,2020-12-11,Standard Class,MV-18190,Mike Vittorini,Email,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001998,39.98,2,0.0,13.5932
31,402,CA-2019-108987,2019-09-08,Second Class,AG-10675,Anna Gayman,Email,Houston,Texas,77036.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000158,57.584,2,0.2,0.7198
32,406,CA-2020-117457,2020-12-08,Standard Class,KH-16510,Keith Herrera,Email,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000158,179.95,5,0.0,37.7895
33,422,CA-2017-142048,2017-06-22,First Class,JE-15745,Joel Eaton,Email,Louisville,Colorado,80027.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004114,196.752,6,0.2,56.5662
34,431,US-2019-123750,2019-04-15,Standard Class,RB-19795,Ross Baird,Facebook,Gastonia,North Carolina,28052.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.744,7,0.2,76.6395
35,432,US-2019-123750,2019-04-15,Standard Class,RB-19795,Ross Baird,Facebook,Gastonia,North Carolina,28052.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004659,291.96,5,0.2,54.7425
36,436,US-2017-150574,2017-12-19,Standard Class,MK-18160,Mike Kennedy,Email,Jacksonville,Florida,32216.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002600,247.8,5,0.2,-18.585
37,456,CA-2019-100153,2019-12-13,Standard Class,KH-16630,Ken Heidel,Sales,Norman,Oklahoma,73071.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,63.88,4,0.0,24.9132
38,461,CA-2018-109638,2018-12-15,Standard Class,JH-15985,Joseph Holt,Email,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004571,899.91,9,0.0,377.9622
39,482,CA-2017-134677,2017-10-06,Standard Class,XP-21865,Xylona Preis,Email,San Diego,California,92024.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001445,9.09,3,0.0,1.9089
40,484,CA-2017-127691,2017-07-22,Standard Class,EM-14065,Erin Mull,Email,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002567,159.98,2,0.0,57.5928
41,490,CA-2017-133753,2017-06-09,Second Class,CW-11905,Carl Weiss,Facebook,Huntsville,Texas,77340.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000303,63.984,2,0.2,10.3974
42,494,CA-2019-169166,2019-05-09,Standard Class,SS-20590,Sonia Sunley,Email,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000991,93.98,2,0.0,13.1572
43,512,CA-2020-135307,2020-11-26,First Class,LS-17245,Lynn Smith,Email,Gladstone,Missouri,64118.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10002399,38.04,2,0.0,12.1728
44,520,CA-2018-157812,2018-03-22,Standard Class,DB-13210,Dean Braden,Email,Houston,Texas,77041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,18.392,1,0.2,5.2877
45,525,US-2019-139486,2019-05-21,First Class,LH-17155,Logan Haushalter,Email,Los Angeles,California,90032.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,66.26,2,0.0,27.1666
46,541,CA-2017-140795,2017-02-01,First Class,BD-11500,Bradley Drucker,Email,Green Bay,Wisconsin,54302.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001432,468.9,6,0.0,206.316
47,544,CA-2017-103849,2017-05-11,Standard Class,PG-18895,Paul Gonzalez,Email,Fort Worth,Texas,76106.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001465,58.112,2,0.2,7.264
48,594,CA-2017-135405,2017-01-09,Standard Class,MS-17830,Melanie Seite,Email,Laredo,Texas,78041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,31.2,3,0.2,9.75
49,632,US-2019-135720,2019-12-11,Second Class,FM-14380,Fred McMath,Email,Aurora,Colorado,80013.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001267,119.8,5,0.2,29.95
50,634,CA-2020-144694,2020-09-24,Second Class,BD-11605,Brian Dahlen,Email,Miami,Florida,33180.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002857,17.88,3,0.2,2.4585
51,644,CA-2020-106103,2020-06-10,Standard Class,SC-20305,Sean Christensen,Email,Rochester Hills,Michigan,48307.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,132.52,4,0.0,54.3332
52,651,CA-2019-160745,2019-12-11,Second Class,AR-10825,Anthony Rawles,Sales,Vancouver,Washington,98661.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001142,316.0,4,0.0,31.6
53,654,CA-2020-140844,2020-06-19,Standard Class,AR-10405,Allen Rosenblatt,Sales,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001101,103.12,8,0.0,10.312
54,676,CA-2020-130351,2020-12-05,First Class,RB-19570,Rob Beeghly,Email,Columbus,Indiana,47201.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,99.39,3,0.0,40.7499
55,678,US-2020-119438,2020-03-18,Standard Class,CD-11980,Carol Darley,Email,Tyler,Texas,75701.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003614,27.816,3,0.2,4.5201
56,686,CA-2017-157784,2017-07-05,First Class,MC-17845,Michael Chen,Email,Jackson,Mississippi,39212.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003911,479.97,3,0.0,163.1898
57,693,CA-2018-131534,2018-03-28,Standard Class,AB-10165,Alan Barnes,Email,Los Angeles,California,90036.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002253,166.24,1,0.0,24.936
58,707,CA-2017-138527,2017-09-12,Standard Class,BN-11470,Brad Norvell,Sales,Cary,North Carolina,27511.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002399,15.216,1,0.2,2.2824
59,708,CA-2017-112158,2017-12-02,First Class,DP-13165,David Philippe,Email,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003628,119.96,4,0.0,52.7824
60,715,US-2020-100048,2020-05-19,Standard Class,RS-19765,Roland Schwarz,Sales,Mount Vernon,New York,10550.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001606,299.97,3,0.0,113.9886
61,734,CA-2020-131954,2020-01-21,Standard Class,DS-13030,Darrin Sayre,Facebook,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,179.97,3,0.0,86.3856
62,739,CA-2017-132500,2017-09-08,Standard Class,GZ-14470,Gary Zandusky,Email,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001383,49.98,2,0.0,8.4966
63,758,CA-2017-106803,2017-12-29,Standard Class,DC-13285,Debra Catini,Email,Cottage Grove,Minnesota,55016.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001267,119.8,4,0.0,47.92
64,766,CA-2017-162775,2017-01-13,Second Class,CS-12250,Chris Selesnick,Sales,Bossier City,Louisiana,71111.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003174,646.74,6,0.0,258.696
65,783,US-2018-157014,2018-10-03,Second Class,BM-11785,Bryan Mills,Email,Columbus,Ohio,43229.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,24.0,2,0.2,-2.7
66,785,US-2018-157014,2018-10-03,Second Class,BM-11785,Bryan Mills,Email,Columbus,Ohio,43229.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000057,47.984,2,0.2,0.5998
67,809,CA-2018-140921,2018-02-03,First Class,AA-10375,Allen Armold,Email,Omaha,Nebraska,68104.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004901,149.97,3,0.0,50.9898
68,813,CA-2017-151995,2017-10-13,First Class,ZC-21910,Zuschuss Carroll,Email,Edmonds,Washington,98026.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001101,25.78,2,0.0,2.578
69,815,CA-2020-143686,2020-05-14,First Class,PJ-19015,Pauline Johnson,Email,Santa Ana,California,92704.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001838,1399.93,7,0.0,601.9699
70,823,CA-2020-101434,2020-06-20,Standard Class,TR-21325,Toby Ritter,Email,Belleville,New Jersey,7109.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002402,239.97,3,0.0,71.991
71,825,US-2017-102071,2017-05-09,Standard Class,PG-18820,Patrick Gardner,Email,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003441,67.8,4,0.0,4.068
72,826,US-2017-102071,2017-05-09,Standard Class,PG-18820,Patrick Gardner,Email,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000109,167.97,3,0.0,40.3128
73,850,CA-2017-107755,2017-02-07,Standard Class,CK-12760,Cyma Kinney,Sales,Linden,New Jersey,7036.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000710,115.36,7,0.0,49.6048
74,863,CA-2019-134474,2019-01-05,Second Class,AJ-10795,Anthony Johnson,Sales,Jacksonville,Florida,32216.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10001714,191.472,6,0.2,40.6878
75,877,CA-2019-116736,2019-01-17,Standard Class,CC-12430,Chuck Clark,Facebook,Concord,New Hampshire,3301.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003628,29.99,1,0.0,13.1956
76,878,CA-2019-116736,2019-01-17,Standard Class,CC-12430,Chuck Clark,Facebook,Concord,New Hampshire,3301.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002049,371.97,3,0.0,66.9546
77,890,CA-2020-132934,2020-06-20,Standard Class,JE-15475,Jeremy Ellison,Email,New Rochelle,New York,10801.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000927,149.95,5,0.0,14.995
78,911,CA-2020-137596,2020-09-02,Standard Class,BE-11335,Bill Eplett,Facebook,Jackson,Michigan,49201.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004666,1928.78,7,0.0,829.3754
79,915,CA-2020-102519,2020-11-27,First Class,BM-11650,Brian Moss,Sales,Milwaukee,Wisconsin,53209.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,143.73,9,0.0,56.0547
80,922,CA-2018-111164,2018-04-11,Standard Class,SE-20110,Sanjit Engle,Email,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002473,85.14,3,0.0,34.9074
81,927,CA-2017-132962,2017-09-13,First Class,JM-15535,Jessica Myrick,Email,Philadelphia,Pennsylvania,19143.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004353,252.0,5,0.2,53.55
82,938,US-2020-111745,2020-11-05,First Class,RA-19885,Ruben Ausman,Sales,Farmington,New Mexico,87401.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,159.99,1,0.0,54.3966
83,1002,CA-2018-124891,2018-07-31,First Class,RH-19495,Rick Hansen,Email,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003033,2309.65,7,0.0,762.1845
84,1015,US-2018-126214,2018-12-21,Second Class,JS-15880,John Stevenson,Email,Seattle,Washington,98103.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003198,99.6,1,0.0,36.852
85,1042,CA-2019-102981,2019-09-06,Second Class,MO-17500,Mary O'Rourke,Email,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004761,31.86,2,0.0,11.151
86,1050,CA-2017-139192,2017-05-27,Second Class,LC-16885,Lena Creighton,Email,San Francisco,California,94109.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001606,99.99,1,0.0,37.9962
87,1076,CA-2019-134348,2019-11-12,Standard Class,MS-17710,Maurice Satty,Email,Mesa,Arizona,85204.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003447,31.984,2,0.2,1.999
88,1101,CA-2019-107216,2019-06-14,First Class,PV-18985,Paul Van Hugh,Facebook,San Francisco,California,94122.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001013,29.29,1,0.0,9.6657
89,1116,CA-2020-140585,2020-12-18,Second Class,RA-19915,Russell Applegate,Email,Encinitas,California,92024.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,119.98,2,0.0,57.5904
90,1119,CA-2018-142755,2018-09-04,Standard Class,CS-12355,Christine Sundaresam,Email,Roswell,Georgia,30076.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002049,619.95,5,0.0,111.591
91,1167,CA-2018-125416,2018-11-02,First Class,KC-16540,Kelly Collister,Email,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,447.93,9,0.0,49.2723
92,1180,CA-2019-168081,2019-04-24,Second Class,CA-12055,Cathy Armstrong,Facebook,Houston,Texas,77070.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003174,258.696,3,0.2,64.674
93,1198,CA-2019-130946,2019-04-08,Standard Class,ZC-21910,Zuschuss Carroll,Email,Houston,Texas,77041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001990,431.928,9,0.2,64.7892
94,1217,US-2020-118087,2020-09-09,Standard Class,SP-20620,Stefania Perrino,Sales,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004469,95.88,3,0.2,28.764
95,1219,US-2020-118087,2020-09-09,Standard Class,SP-20620,Stefania Perrino,Sales,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003174,258.696,3,0.2,64.674
96,1224,CA-2019-126004,2019-12-04,First Class,BM-11140,Becky Martin,Email,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001432,78.15,1,0.0,34.386
97,1260,US-2019-168620,2019-12-24,Second Class,RB-19795,Ross Baird,Facebook,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004469,255.68,8,0.2,76.704
98,1277,CA-2019-119186,2019-05-26,First Class,MS-17710,Maurice Satty,Email,Fort Worth,Texas,76106.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000580,63.992,1,0.2,-7.1991
99,1279,CA-2017-163293,2017-09-08,First Class,KC-16255,Karen Carlisle,Sales,Macon,Georgia,31204.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004209,32.97,3,0.0,12.8583
100,1280,CA-2017-163293,2017-09-08,First Class,KC-16255,Karen Carlisle,Sales,Macon,Georgia,31204.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10000023,83.88,4,0.0,30.1968
101,1318,CA-2020-157651,2020-12-10,Standard Class,HA-14920,Helen Andreada,Email,Philadelphia,Pennsylvania,19120.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003116,14.2,1,0.2,3.3725
102,1366,US-2020-155425,2020-11-10,First Class,AB-10600,Ann Blume,Sales,Tucson,Arizona,85705.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001314,239.952,6,0.2,-35.9928
103,1372,CA-2020-136672,2020-03-07,Standard Class,MG-17890,Michael Granlund,Facebook,Clinton,Maryland,20735.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004510,49.08,3,0.0,4.908
104,1399,CA-2019-124485,2019-11-24,First Class,NC-18340,Nat Carroll,Email,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002323,88.4,4,0.0,11.492
105,1407,US-2017-118486,2017-04-06,First Class,SD-20485,Shirley Daniels,Facebook,Philadelphia,Pennsylvania,19143.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004659,116.784,2,0.2,21.897
106,1415,CA-2020-115994,2020-01-28,Second Class,BT-11305,Beth Thompson,Facebook,Costa Mesa,California,92627.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000580,239.97,3,0.0,26.3967
107,1418,CA-2018-126697,2018-09-21,First Class,SV-20815,Stuart Van,Sales,Houston,Texas,77041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004353,151.2,3,0.2,32.13
108,1438,CA-2018-139731,2018-10-15,First Class,JE-15745,Joel Eaton,Email,Amarillo,Texas,79109.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004975,263.88,3,0.2,42.8805
109,1463,CA-2019-152289,2019-08-26,First Class,LC-16930,Linda Cazamias,Sales,Pasadena,Texas,77506.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004571,159.984,2,0.2,43.9956
110,1467,CA-2017-151708,2017-08-08,Standard Class,MB-17305,Maria Bertelson,Email,Glendale,Arizona,85301.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.976,3,0.2,-10.7973
111,1468,CA-2018-100769,2018-05-16,First Class,TH-21550,Tracy Hopkins,Facebook,Jacksonville,Florida,32216.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002402,255.968,4,0.2,31.996
112,1485,US-2019-108098,2019-10-14,Standard Class,CP-12340,Christine Phan,Sales,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000865,177.0,3,0.0,30.09
113,1488,CA-2018-140410,2018-11-03,Standard Class,CM-12655,Corinna Mitchell,Facebook,Los Angeles,California,90008.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001109,89.97,3,0.0,37.7874
114,1556,CA-2020-120761,2020-09-04,Standard Class,AB-10150,Aimee Bixby,Email,Long Beach,New York,11561.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000171,91.96,4,0.0,39.5428
115,1567,CA-2018-129112,2018-11-29,First Class,AW-10840,Anthony Witt,Email,Allen,Texas,75002.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003038,21.48,3,0.2,-0.2685
116,1573,US-2017-157385,2017-11-23,First Class,SC-20095,Sanjit Chand,Email,Los Angeles,California,90004.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003280,29.99,1,0.0,6.2979
117,1589,CA-2018-131338,2018-08-09,First Class,NP-18325,Naresj Patel,Email,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002600,247.8,4,0.0,34.692
118,1615,US-2019-113509,2019-03-15,Standard Class,PL-18925,Paul Lucas,Facebook,Philadelphia,Pennsylvania,19143.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004855,83.976,3,0.2,-13.6461
119,1624,CA-2020-108560,2020-07-08,Standard Class,JC-15385,Jenna Caffey,Email,Kent,Washington,98031.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003063,50.0,2,0.0,10.5
120,1626,CA-2018-157084,2018-12-19,Standard Class,JG-15160,James Galang,Email,Los Angeles,California,90049.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002049,1265.85,3,0.0,556.974
121,1635,CA-2019-106530,2019-05-08,First Class,CL-12565,Clay Ludtke,Email,Cleveland,Ohio,44105.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001465,58.112,2,0.2,7.264
122,1647,CA-2018-105221,2018-11-01,First Class,VM-21685,Valerie Mitchum,Facebook,Philadelphia,Pennsylvania,19140.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002323,35.36,2,0.2,-3.094
123,1654,US-2020-132444,2020-11-18,First Class,CD-12280,Christina DeMoss,Email,Seattle,Washington,98105.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,132.52,4,0.0,54.3332
124,1665,CA-2019-128531,2019-11-24,Second Class,NS-18505,Neola Schneider,Email,Dallas,Texas,75217.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10002049,297.576,3,0.2,-7.4394
125,1667,CA-2019-128531,2019-11-24,Second Class,NS-18505,Neola Schneider,Email,Dallas,Texas,75217.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003023,94.992,2,0.2,-2.3748
126,1672,CA-2019-107615,2019-03-22,First Class,RB-19645,Robert Barroso,Sales,North Las Vegas,Nevada,89031.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001013,58.58,2,0.0,19.3314
127,1694,US-2019-158708,2019-06-26,Second Class,AB-10255,Alejandro Ballentine,Facebook,Plano,Texas,75023.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003133,13.616,2,0.2,3.5742
128,1695,CA-2018-156335,2018-09-25,Second Class,PO-19195,Phillina Ober,Facebook,Bayonne,New Jersey,7002.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002006,63.96,4,0.0,19.8276
129,1723,US-2018-123218,2018-12-20,Standard Class,KD-16345,Katherine Ducich,Email,Chicago,Illinois,60623.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000736,255.968,4,0.2,51.1936
130,1729,CA-2019-106894,2019-02-07,First Class,CA-12265,Christina Anderson,Email,Springfield,Virginia,22153.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003063,100.0,4,0.0,21.0
131,1739,CA-2018-130204,2018-09-03,Standard Class,DB-13120,David Bremer,Sales,San Francisco,California,94122.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003038,17.9,2,0.0,3.401
132,1740,CA-2018-130204,2018-09-03,Standard Class,DB-13120,David Bremer,Sales,San Francisco,California,94122.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003590,129.45,5,0.0,46.602
